Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Storylab,2026_08_27_07,"Dolly Parton on life, love and loss in her own words",https://www.abc.net.au/news/2026-08-26/dolly-parton-famous-quotes-on-fame-life-and-loss/107078516,ABC,https://www.abc.net.au,2026_08_26_06
ABC Storylab,2026_08_27_07,Misogyny identified as biggest red flag for violent extremism,https://www.abc.net.au/news/2026-08-25/rising-misogyny-in-young-people/107053640,ABC,https://www.abc.net.au,2026_08_24_18
ABC Storylab,2026_08_27_07,Sydney Swans fans grapple with scandal ahead of double-header,https://www.abc.net.au/news/2026-08-23/swans-fans-grapple-with-scandal-ahead-of-double-header/107066804,ABC,https://www.abc.net.au,2026_08_22_18
ABC Storylab,2026_08_27_07,Scam payments lead to an Australian business and its Israeli owner,https://www.abc.net.au/news/2026-08-20/fake-abc-scam-money-trail-leads-to-global-network/106895388,ABC,https://www.abc.net.au,2026_08_19_18
ABC Storylab,2026_08_27_07,What we do and don't know about guns in Australia,https://www.abc.net.au/news/2026-08-19/gun-numbers-australia-explainer/107046264,ABC,https://www.abc.net.au,2026_08_18_19
ABC Storylab,2026_08_27_07,Legal tobacco sales are down but wastewater tells a worrying story about smokers,https://www.abc.net.au/news/2026-08-10/charting-the-rise-of-illegal-tobacco-in-australia/106941130,ABC,https://www.abc.net.au,2026_08_09_19
ABC Storylab,2026_08_27_07,"The Iran war has 'metastasised', and that suits one side just fine",https://www.abc.net.au/news/2026-08-08/iran-war-spreading-diplomacy-teeters/106990466,ABC,https://www.abc.net.au,2026_08_08_01
ABC Storylab,2026_08_27_07,How Australians on JobSeeker are living on $68 a day,https://www.abc.net.au/news/2026-08-07/could-you-live-on-jobseeker-payments/106866554,ABC,https://www.abc.net.au,2026_08_06_18
ABC Storylab,2026_08_27_07,The everyday items that have gone up in price — and what's gone down,https://www.abc.net.au/news/2026-07-30/tracking-inflation-see-how-the-price-of-everything-has-changed/106967878,ABC,https://www.abc.net.au,2026_07_29_18
ABC Storylab,2026_08_27_07,Hear that siren? That was the first test of a national emergency alert,https://www.abc.net.au/news/2026-07-27/what-to-know-about-ausalert-emergency-warning-test/106919574,ABC,https://www.abc.net.au,2026_07_27_04
