Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Alyssa Karla Mungcal,2026_05_07_05,Milan’s world: A day in the life of a Singapore Special dog,https://www.straitstimes.com/multimedia/milans-world-a-day-in-the-life-of-a-singapore-special-dog,Straits Times,https://www.straitstimes.com/,2026_04_16_05
Alyssa Karla Mungcal,2026_05_07_05,"It’s not just you: What 1,000 people said about their dating struggles",https://www.straitstimes.com/multimedia/its-not-just-you-what-1000-people-said-about-their-dating-struggles,Straits Times,https://www.straitstimes.com/,2026_04_10_05
Alyssa Karla Mungcal,2026_05_07_05,Wellness or worry: Inside the rise of beauty and massage shops in the heartland,https://www.straitstimes.com/singapore/wellness-or-worry-inside-the-rise-of-beauty-and-massage-shops-in-the-heartland,Straits Times,https://www.straitstimes.com/,2026_03_21_05
Alyssa Karla Mungcal,2026_05_07_05,Our award-winning stories in 2025 and what people said about them,https://www.straitstimes.com/singapore/our-award-winning-stories-in-2025-and-what-people-said-about-them,Straits Times,https://www.straitstimes.com/,2026_03_09_16
Alyssa Karla Mungcal,2026_05_07_05,US-Israeli attack on Iran: What happens next?,https://www.straitstimes.com/world/middle-east/us-israeli-attack-on-iran-what-happens-next,Straits Times,https://www.straitstimes.com/,2026_03_05_06
Alyssa Karla Mungcal,2026_05_07_05,US-Israeli attack on Iran: What we know so far,https://www.straitstimes.com/world/middle-east/us-israeli-attack-on-iran-what-we-know-so-far,Straits Times,https://www.straitstimes.com/,2026_03_02_13
Alyssa Karla Mungcal,2026_05_07_05,Budget 2026 calculator: Check your benefits and estimated tax,https://www.straitstimes.com/singapore/budget-2026-calculator-check-your-benefits,Straits Times,https://www.straitstimes.com/,2026_02_12_18
Alyssa Karla Mungcal,2026_05_07_05,Bondi Beach shooting: What we know so far,https://www.straitstimes.com/asia/australianz/bondi-beach-shooting-what-we-know-so-far,Straits Times,https://www.straitstimes.com/,2025_12_15_23
Alyssa Karla Mungcal,2026_05_07_05,From page to place: Mapping Singapore through 60 books,https://www.straitstimes.com/life/from-page-to-place-mapping-singapore-through-60-books,Straits Times,https://www.straitstimes.com/,2025_12_14_05
Alyssa Karla Mungcal,2026_05_07_05,"Kelongs were once a common sight in S'pore’s waters. Today, only a handful remain",https://www.straitstimes.com/multimedia/kelongs-were-once-a-common-sight-in-singapores-waters-today-only-a-handful-remain,Straits Times,https://www.straitstimes.com/,2025_11_14_05
