Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Ashley Kyd,2026_07_11_06,"As Ebola spreads, Australia faces rise in 'biblical' disease risks",https://www.abc.net.au/news/2026-06-25/as-ebola-spreads-australia-faces-rise-in-biblical-disease-risks/106736608,ABC,https://www.abc.net.au,2026_06_24_21
Ashley Kyd,2026_07_11_06,The scale of the mouse plague is hard to fathom. Here's a visualisation,https://www.abc.net.au/news/2026-05-24/visualising-australias-mouse-plague/106696622,ABC,https://www.abc.net.au,2026_05_26_02
Ashley Kyd,2026_07_11_06,These charts show how Coles Down Down pricing patterns duped shoppers,https://www.abc.net.au/news/2026-05-14/coles-grocery-pricing-down-down-accc-court-visual-guide/106678288,ABC,https://www.abc.net.au,2026_05_14_03
Ashley Kyd,2026_07_11_06,'It's a cutthroat business': Where Australia is sourcing oil right now,https://www.abc.net.au/news/2026-04-11/australia-fuel-supply-strait-hormuz-crisis/106533982,ABC,https://www.abc.net.au,2026_04_10_23
Ashley Kyd,2026_07_11_06,What are the chances the RBA will raise interest rates today?,https://www.abc.net.au/news/2026-03-17/will-rba-increase-rates-today/106452926,ABC,https://www.abc.net.au,2026_03_17_00
Ashley Kyd,2026_07_11_06,Iran targets big tech and AI with strikes on data centres,https://www.abc.net.au/news/2026-03-15/iran-war-ai-technology-data-centres/106443004,ABC,https://www.abc.net.au,2026_03_15_06
Ashley Kyd,2026_07_11_06,These charts show the price patterns that have landed Coles in court,https://www.abc.net.au/news/2026-02-22/coles-grocery-pricing-down-down-accc-court/106355492,ABC,https://www.abc.net.au,2026_02_21_20
Ashley Kyd,2026_07_11_06,'I am shocked': Unpacking One Nation's spectacular rise in the polls,https://www.abc.net.au/news/2026-02-15/story-lab-one-nation-polling/106322978,ABC,https://www.abc.net.au,2026_02_14_18
Ashley Kyd,2026_07_11_06,What are the chances the RBA will raise interest rates?,https://www.abc.net.au/news/2026-02-02/will-the-rba-lift-interest-rates/106286450,ABC,https://www.abc.net.au,2026_02_02_23
Ashley Kyd,2026_07_11_06,How hot is it? Track heatwave temperatures live,https://www.abc.net.au/news/2026-01-27/temperatures-heatwave-tracker-live/106270976,ABC,https://www.abc.net.au,2026_01_26_18
