Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Cam Wilson,2024_09_08_05,"Please stop selling your NBN boxes on Gumtree and Facebook, says NBN",https://www.crikey.com.au/2024/09/06/stop-selling-nbn-boxes-gumtree-facebook-marketplace-nbn/,Crikey,https://www.crikey.com.au,2024_09_06_00
Cam Wilson,2024_09_08_05,A tech YouTuber kept promoting this AI company without disclosing he's an adviser,https://www.crikey.com.au/2024/09/04/tech-youtuber-matt-wolfe-promotes-australian-ai-leonardo-disclosure/,Crikey,https://www.crikey.com.au,2024_09_04_00
Cam Wilson,2024_09_08_05,"AI worse than humans in every way at summarising information, government trial finds",https://www.crikey.com.au/2024/09/03/ai-worse-summarising-information-humans-government-trial/,Crikey,https://www.crikey.com.au,2024_09_03_00
Cam Wilson,2024_09_08_05,X’s Elon Musk and Telegram’s Pavel Durov are using the ‘free speech’ excuse to defend their tech autocrat status,https://www.crikey.com.au/2024/09/02/elon-musk-telegram-free-speech-tech-autocrats/,Crikey,https://www.crikey.com.au,2024_09_02_00
Cam Wilson,2024_09_08_05,Foxtel investigating 'improper use' of multiple social media accounts linked to executive,https://www.crikey.com.au/2024/08/30/foxtel-fox-sports-cricket-matthew-weiss-twitter-account/,Crikey,https://www.crikey.com.au,2024_08_30_00
Cam Wilson,2024_09_08_05,'Shameful': Fox Sports executive’s secret abusive Twitter account revealed,https://www.crikey.com.au/2024/08/28/fox-sports-executives-secret-abusive-twitter-account/,Crikey,https://www.crikey.com.au,2024_08_28_00
Cam Wilson,2024_09_08_05,What restructure are people prattling about in a posh Paddington dog park? Please tell me!,https://www.crikey.com.au/2024/08/23/paddington-dog-park-reserve-bank-restructure/,Crikey,https://www.crikey.com.au,2024_08_23_00
Cam Wilson,2024_09_08_05,Retail surveillance company Auror faces privacy investigation,https://www.crikey.com.au/2024/08/20/retail-surveillance-company-auror-faces-privacy-probe-afp/,Crikey,https://www.crikey.com.au,2024_08_20_00
Cam Wilson,2024_09_08_05,"Foxtel CEO goes into damage control after Jewish, media groups slam Nazi salute",https://www.crikey.com.au/2024/08/19/foxtel-ceo-patrick-delany-apology-nazi-salute-jewish-media-groups/,Crikey,https://www.crikey.com.au,2024_08_19_00
Cam Wilson,2024_09_08_05,Exclusive: Leaked photo shows Foxtel CEO 'demonstrating' Nazi salute,https://www.crikey.com.au/2024/08/18/foxtel-ceo-patrick-delany-demonstrating-nazi-salute-fox-sports-set/,Crikey,https://www.crikey.com.au,2024_08_18_00
