Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Charlene Chua,2025_10_22_05,,https://www.straitstimes.com/multimedia/more-than-a-convenience-store-disappearing-mamak-shops,Straits Times,https://www.straitstimes.com/,
Charlene Chua,2025_10_22_05,,https://www.straitstimes.com/multimedia/how-to-make-the-most-out-of-small-homes-in-singapore,Straits Times,https://www.straitstimes.com/,
Charlene Chua,2025_10_22_05,,https://www.straitstimes.com/world/middle-east/operation-midnight-hammer-how-the-us-strikes-on-iran-unfolded,Straits Times,https://www.straitstimes.com/,
Charlene Chua,2025_10_22_05,,https://www.straitstimes.com/multimedia/air-india-plane-crash-what-we-know-so-far,Straits Times,https://www.straitstimes.com/,
Charlene Chua,2025_10_22_05,,https://www.straitstimes.com/multimedia/singapore-election-live-results-for-ge2025,Straits Times,https://www.straitstimes.com/,
Charlene Chua,2025_10_22_05,,https://www.straitstimes.com/multimedia/ge2025-surprises-and-new-faces-who-are-the-election-candidates-you-will-be-voting-for,Straits Times,https://www.straitstimes.com/,
Charlene Chua,2025_10_22_05,,https://www.straitstimes.com/multimedia/where-to-catch-election-rallies-and-events,Straits Times,https://www.straitstimes.com/,
Charlene Chua,2025_10_22_05,,https://www.straitstimes.com/multimedia/ge2025-whos-standing-where-in-singapores-general-election,Straits Times,https://www.straitstimes.com/,
Charlene Chua,2025_10_22_05,,https://www.straitstimes.com/multimedia/all-you-need-to-know-about-singapores-general-election,Straits Times,https://www.straitstimes.com/,
Charlene Chua,2025_10_22_05,,https://www.straitstimes.com/multimedia/ge2025-all-you-need-to-know-about-your-constituency2,Straits Times,https://www.straitstimes.com/,
