Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Chee Wei Xian,2025_12_24_13,How Singapore’s landscape may change in the years ahead,https://www.straitstimes.com/multimedia/how-singapores-landscape-may-change-in-the-years-ahead,Straits Times,https://www.straitstimes.com/,2025_12_21_05
Chee Wei Xian,2025_12_24_13,How we designed an interactive stereoscope of 60 Singapore Objects,https://www.straitstimes.com/multimedia/how-we-designed-an-interactive-stereoscope-of-60-singapore-objects,Straits Times,https://www.straitstimes.com/,2025_12_18_22
Chee Wei Xian,2025_12_24_13,Behind the scenes: How we animated light and motion for 3D interior visualisation,https://www.straitstimes.com/multimedia/behind-the-scenes-how-we-animated-light-and-motion-for-3d-interior-visualisation,Straits Times,https://www.straitstimes.com/,2025_12_16_20
Chee Wei Xian,2025_12_24_13,We asked more than 40 people to track their coffee consumption for a week. Here is what we found,https://www.straitstimes.com/multimedia/we-asked-more-than-40-people-to-track-their-coffee-consumption-for-a-week-here-is-what-we-found,Straits Times,https://www.straitstimes.com/,2025_12_07_05
Chee Wei Xian,2025_12_24_13,"Hong Kong fire: Where did it start, how did it spread so rapidly?",https://www.straitstimes.com/multimedia/hong-kong-fire-what-we-know-so-far,Straits Times,https://www.straitstimes.com/,2025_11_27_23
Chee Wei Xian,2025_12_24_13,What makes swim star Yip Pin Xiu fast? Discover the science of her technique,https://www.straitstimes.com/multimedia/yip-pin-xiu-queen-of-grit,Straits Times,https://www.straitstimes.com/,2025_09_17_05
Chee Wei Xian,2025_12_24_13,Inside the confusing world of women’s clothing sizes,https://www.straitstimes.com/multimedia/inside-the-confusing-world-of-womens-clothing-sizes,Straits Times,https://www.straitstimes.com/,2025_09_12_05
Chee Wei Xian,2025_12_24_13,How to make the most of small homes in Singapore,https://www.straitstimes.com/multimedia/how-to-make-the-most-out-of-small-homes-in-singapore,Straits Times,https://www.straitstimes.com/,2025_07_20_05
Chee Wei Xian,2025_12_24_13,From local to global: What made top news in Singapore over the last 180 years?,https://www.straitstimes.com/multimedia/from-local-to-global-what-made-top-news-in-singapore-over-the-last-180-years,Straits Times,https://www.straitstimes.com/,2025_07_15_05
Chee Wei Xian,2025_12_24_13,Singapore election: Full results for GE2025,https://www.straitstimes.com/multimedia/singapore-election-live-results-for-ge2025,Straits Times,https://www.straitstimes.com/,2025_05_03_18
