Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Clare Blumer,2026_03_21_05,'I don't think he killed himself': Inside Epstein's camp as his death is examined,https://www.abc.net.au/news/2026-03-03/jeffrey-epstein-brother-lawyer-dont-believe-he-took-his-own-life/106391626,ABC,https://www.abc.net.au,2026_03_03_03
Clare Blumer,2026_03_21_05,Inside the unlikely alliance that broke Trump and unleashed the Epstein files,https://www.abc.net.au/news/2026-03-02/epstein-files-majorie-taylor-greene-alliance-that-broke-trump/106391630,ABC,https://www.abc.net.au,2026_03_01_23
Clare Blumer,2026_03_21_05,'Your family should feel safe here': PM confronts racism concern,https://www.abc.net.au/news/2025-02-24/anthony-albanese-qanda-questions-from-voters-before-election/104959946,ABC,https://www.abc.net.au,2025_02_25_01
Clare Blumer,2026_03_21_05,Scott Pendlebury is a footy outlier and here's the proof,https://www.abc.net.au/news/2024-08-03/afl-data-shows-scott-pendlebury-records/104159092,ABC,https://www.abc.net.au,2024_08_05_06
Clare Blumer,2026_03_21_05,Jim Chalmers faces voters on Q+A a week after delivering budget — as it happened,https://www.abc.net.au/news/2024-05-20/live-jim-chalmers-budget-q-and-a-panel/103866382,ABC,https://www.abc.net.au,2024_05_20_13
Clare Blumer,2026_03_21_05,Finished Nemesis? We unpacked the rise and fall of Tony Abbott with David Speers,https://www.abc.net.au/news/2024-01-29/nemesis-live-updates-episode-1-tony-abbott/103382598,ABC,https://www.abc.net.au,2024_01_29_11
Clare Blumer,2026_03_21_05,How Australia's push into rooftop solar is powering the suburbs,https://www.abc.net.au/news/2023-10-31/how-rooftop-solar-panels-transformed-energy-in-australia/102987100,ABC,https://www.abc.net.au,2023_10_31_00
Clare Blumer,2026_03_21_05,'Our opinion was never valued': Wilcannia speaks out,https://www.abc.net.au/news/2021-10-28/wilcannia-tells-their-side-of-covid-outbreak-story/100558160,ABC,https://www.abc.net.au,2021_10_28_01
Clare Blumer,2026_03_21_05,"'Getting away with it', nude Twister with strippers: How the drinking culture of the SAS eroded its reputation",https://www.abc.net.au/news/2021-08-25/nude-twister-getting-away-with-it-and-the-sas-bar/100367410,ABC,https://www.abc.net.au,2021_08_24_20
Clare Blumer,2026_03_21_05,How a ceremony in NSW Parliament helped a company steal $46 million from retirees,https://www.abc.net.au/news/2021-07-28/how-nsw-mp-daryl-maguire-helped-jimmy-liu-s-companies/100297392,ABC,https://www.abc.net.au,2021_07_28_03
