Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Cody Atkinson,2025_05_12_05,How the best AFL teams can win games through clearances,https://www.abc.net.au/news/2025-05-02/how-the-best-afl-teams-can-win-games-through-clearances/105242808,ABC,https://www.abc.net.au,2025_05_02_00
ABC Cody Atkinson,2025_05_12_05,"The history of the handball, and how it changed Australian rules football",https://www.abc.net.au/news/2025-04-16/the-history-of-the-handball-australian-rules-football/105182030,ABC,https://www.abc.net.au,2025_04_16_01
ABC Cody Atkinson,2025_05_12_05,The oldest team in AFL history is about to take the field — it's a growing trend,https://www.abc.net.au/news/2025-04-02/afl-battle-of-ages-pits-ageing-veterans-against-top-youngsters/105125578,ABC,https://www.abc.net.au,2025_04_02_00
ABC Cody Atkinson,2025_05_12_05,How the Tigers pulled off one of the biggest AFL upsets in recent memory,https://www.abc.net.au/news/2025-03-20/afl-richmond-tigers-carlton-blues-analysis/105070092,ABC,https://www.abc.net.au,2025_03_19_20
ABC Cody Atkinson,2025_05_12_05,Unpredictable AFL season 2025 set to be most open in years,https://www.abc.net.au/news/2025-03-06/unpredictable-afl-season-2025-set-to-be-most-open-in-years/105011528,ABC,https://www.abc.net.au,2025_03_05_22
ABC Cody Atkinson,2025_05_12_05,The style and substance that will decide the Australian Open men's final,https://www.abc.net.au/news/2025-01-26/australian-open-mens-final-sinner-zverev/104859632,ABC,https://www.abc.net.au,2025_01_26_00
ABC Cody Atkinson,2025_05_12_05,How a reworked serve and a powerful forehand could decide tonight's final,https://www.abc.net.au/news/2025-01-25/australian-open-womens-final-stats-and-data/104858780,ABC,https://www.abc.net.au,2025_01_24_23
ABC Cody Atkinson,2025_05_12_05,Why winning a junior slam doesn't guarantee stardom,https://www.abc.net.au/news/2025-01-24/australian-open-junior-grand-slam-winners-data-analysis/104845064,ABC,https://www.abc.net.au,2025_01_23_20
ABC Cody Atkinson,2025_05_12_05,How to assess which clubs improved or failed in the AFL trade period,https://www.abc.net.au/news/2024-10-17/how-to-assess-which-clubs-improved-in-afl-trade/104482226,ABC,https://www.abc.net.au,2024_10_16_21
ABC Cody Atkinson,2025_05_12_05,"Where the AFL grand final was won for the Lions, and lost for the Swans",https://www.abc.net.au/news/2024-09-29/the-key-stats-brisbane-lions-afl-grand-final-win/104410132,ABC,https://www.abc.net.au,2024_09_28_22
