Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Colin Gourlay,2024_08_20_08,Score these 3 dives to find out if you can cut it as an Olympic judge,https://www.abc.net.au/news/2024-08-06/paris-olympics-diving-judging-test/104186894,ABC,https://www.abc.net.au,2024_08_06_08
Colin Gourlay,2024_08_20_08,'There's just silence': She fought to stop violence against women. Why didn't her murder start a movement?,https://www.abc.net.au/news/2022-10-24/murdered-and-missing-indigenous-women-four-corners/101546186,ABC,https://www.abc.net.au,2023_08_23_03
Colin Gourlay,2024_08_20_08,"Melbourne Cup 2022: Field, horses, form guide and finishing order",https://www.abc.net.au/news/2022-10-29/melbourne-cup-2022-field-horses-form-guide-finishing-order/101499058,ABC,https://www.abc.net.au,2022_11_01_04
Colin Gourlay,2024_08_20_08,How our cities voted for change — but the rest of the country didn't,https://www.abc.net.au/news/2022-05-25/election-results-maps-capital-cities/101091036,ABC,https://www.abc.net.au,2022_05_24_23
Colin Gourlay,2024_08_20_08,"Here's where things went right for Labor, and very wrong for the Liberals, on election night",https://www.abc.net.au/news/2022-05-22/election-how-labor-anthony-albanese-won/101087904,ABC,https://www.abc.net.au,2022_05_22_23
Colin Gourlay,2024_08_20_08,The Australian election map has been lying to you,https://www.abc.net.au/news/2022-05-20/federal-election-map-lying/101076016,ABC,https://www.abc.net.au,2022_05_20_02
Colin Gourlay,2024_08_20_08,'What's wrong with mum?': This is what it feels like to live with long COVID,https://www.abc.net.au/news/2021-10-15/what-does-long-covid-feel-like-australia-research-latest/100429496,ABC,https://www.abc.net.au,2022_04_07_06
Colin Gourlay,2024_08_20_08,Nikita's been working on this dive for years. We'll teach you how to judge it in a few seconds,https://www.abc.net.au/news/2021-08-03/tokyo-olympics-diving-australia-test-your-score-against-a-judge/100241794,ABC,https://www.abc.net.au,2021_08_03_22
Colin Gourlay,2024_08_20_08,Who does the most around your home? Now you can calculate it,https://www.abc.net.au/news/2021-03-07/international-womens-day-calculate-who-does-most-in-your-home/13202778,ABC,https://www.abc.net.au,2021_03_08_01
Colin Gourlay,2024_08_20_08,How Trump's 'beautiful map' turned against him,https://www.abc.net.au/news/2020-11-08/us-election-results-map-biden-trump-president/12861122,ABC,https://www.abc.net.au,2020_11_16_00
