Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Craig Butt,2025_05_30_05,What you need to earn to be in the top 1 per cent in your Perth suburb,https://www.smh.com.au/national/western-australia/what-you-need-to-earn-to-be-in-the-top-1-per-cent-in-your-perth-suburb-20250519-p5m0f9.html,SMH,https://www.smh.com.au/,2025_05_19_19
Craig Butt,2025_05_30_05,What you need to earn to be in the top 1 per cent in your Sydney suburb,https://www.smh.com.au/national/nsw/what-you-need-to-earn-to-be-in-the-top-1-per-cent-in-your-sydney-suburb-20250518-p5m051.html,SMH,https://www.smh.com.au/,2025_05_19_01
Craig Butt,2025_05_30_05,Federal election 2025 as it happened: Leaders hit the campaign trail after PM announces May 3 election date,https://www.smh.com.au/politics/federal/federal-election-2025-live-updates-leaders-hit-the-campaign-trail-after-pm-announces-may-3-election-date-20250328-p5lncq.html,SMH,https://www.smh.com.au/,2025_03_29_05
Craig Butt,2025_05_30_05,The budget explained in seven charts,https://www.smh.com.au/politics/federal/the-budget-explained-in-seven-charts-20250319-p5lkwk.html,SMH,https://www.smh.com.au/,2025_03_25_09
Craig Butt,2025_05_30_05,The suburbs where most families choose state schools over private,https://www.smh.com.au/national/queensland/the-suburbs-where-most-families-choose-state-schools-over-private-20250225-p5leyi.html,SMH,https://www.smh.com.au/,2025_03_23_08
Craig Butt,2025_05_30_05,The suburb divide when it comes to selecting schools: See what your neighbours pick,https://www.smh.com.au/national/victoria/the-suburb-divide-when-it-comes-to-selecting-schools-see-what-your-neighbours-pick-20250305-p5lh5y.html,SMH,https://www.smh.com.au/,2025_03_10_18
Craig Butt,2025_05_30_05,Girls lead exodus as parents choose private and Catholic schools,https://www.smh.com.au/national/nsw/girls-lead-exodus-as-nsw-parents-choose-private-and-catholic-schools-20250217-p5lcsf.html,SMH,https://www.smh.com.au/,2025_02_17_06
Craig Butt,2025_05_30_05,Where your neighbours send their kids to school,https://www.smh.com.au/national/nsw/where-your-neighbours-send-their-kids-to-school-20250206-p5la5i.html,SMH,https://www.smh.com.au/,2025_02_08_18
Craig Butt,2025_05_30_05,Victoria’s road toll by the numbers: View 15 years of data for your suburb,https://www.smh.com.au/national/victoria/victoria-s-road-toll-by-the-numbers-view-15-years-of-data-for-your-suburb-20250102-p5l1oj.html,SMH,https://www.smh.com.au/,2025_01_03_00
Craig Butt,2025_05_30_05,Occupation maps: The most common job in every Brisbane suburb revealed,https://www.smh.com.au/national/queensland/occupation-maps-the-most-common-job-in-every-brisbane-suburb-revealed-20241218-p5kzhj.html,SMH,https://www.smh.com.au/,2024_12_26_18
