Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Daniel Reti,2026_08_25_05,Who’s buying dinner with Albanese – and what they’re paying,https://www.afr.com/politics/federal/the-110m-loophole-australia-s-pay-for-access-political-economy-20260306-p5o88e,AFR,https://www.afr.com,2026_08_17_00
Daniel Reti,2026_08_25_05,House prices in this loosely held Labor seat down $90k in three months,https://www.afr.com/property/residential/house-prices-fall-in-labor-s-marginal-seats-as-downturn-spreads-20260805-p60lje,AFR,https://www.afr.com,2026_08_12_00
Daniel Reti,2026_08_25_05,Here’s who’s really funding Pauline Hanson’s political takeover,https://www.afr.com/politics/federal/what-10-000-donors-reveal-about-one-nation-s-insurgency-20260630-p60ba0,AFR,https://www.afr.com,2026_07_04_00
Daniel Reti,2026_08_25_05,Australia’s capital gains and negative gearing hotspots revealed,https://www.afr.com/politics/federal/mapped-australia-s-capital-gains-and-negative-gearing-hotspots-20260526-p600pi,AFR,https://www.afr.com,2026_06_01_00
Daniel Reti,2026_08_25_05,"Boomers, property reign: The Rich List explained (in seven charts)",https://www.afr.com/wealth/people/boomers-property-still-reign-the-rich-list-explained-in-7-charts-20260522-p5zzub,AFR,https://www.afr.com,2026_05_29_00
Daniel Reti,2026_08_25_05,"Can One Nation really flip Farrer? Yes, and here’s why in five charts",https://www.afr.com/markets/equity-markets/can-one-nation-really-flip-farrer-yes-and-here-s-why-in-five-charts-20260506-p5zudm,AFR,https://www.afr.com,2026_05_08_00
Daniel Reti,2026_08_25_05,"The PM blueprint: Private school, Sydney Uni, a name starting with J",https://www.afr.com/politics/federal/the-pm-blueprint-private-school-sydney-uni-a-name-starting-with-j-20260315-p5oalm,AFR,https://www.afr.com,2026_05_01_00
Daniel Reti,2026_08_25_05,Why these people decided to vote for One Nation,https://www.afr.com/politics/federal/why-these-people-decided-to-vote-for-one-nation-20260325-p5xtwg,AFR,https://www.afr.com,2026_03_27_00
Daniel Reti,2026_08_25_05,Find out how your pay compares with your co-workers (and industry),https://www.afr.com/work-and-careers/careers/find-out-how-your-pay-compares-to-your-co-workers-and-industry-20260302-p5o6nb,AFR,https://www.afr.com,2026_03_03_00
Daniel Reti,2026_08_25_05,Calculate how CGT changes will affect your property,https://www.afr.com/politics/federal/calculate-how-cgt-changes-will-affect-your-property-20260227-p5o623,AFR,https://www.afr.com,2026_02_28_00
