Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Inga Ting,2026_03_25_05,This is what 84 cameras reveal about survival and sacrifice at Bondi,https://www.abc.net.au/news/2026-02-28/synchronised-video-timeline-bondi-terror-attack/106282432,ABC,https://www.abc.net.au,2026_02_28_01
ABC Inga Ting,2026_03_25_05,How sound helped sync dozens of Bondi attack videos — second by second,https://www.abc.net.au/news/2026-02-28/how-sound-helped-sync-videos-of-the-bondi-terror-attack/106282450,ABC,https://www.abc.net.au,2026_02_27_19
ABC Inga Ting,2026_03_25_05,"This group is almost everyone's top pick for love, according to the data",https://www.abc.net.au/news/2025-09-28/more-australians-are-marrying-across-the-religious-divide/105779468,ABC,https://www.abc.net.au,2025_09_27_19
ABC Inga Ting,2026_03_25_05,The percentage of Catholics in Australia is headed for an all-time low,https://www.abc.net.au/news/2025-04-23/the-changing-face-of-catholicism-in-australia/104967032,ABC,https://www.abc.net.au,2025_04_23_02
ABC Inga Ting,2026_03_25_05,Ballooning rents outpace wages in every region and all but one capital city,https://www.abc.net.au/news/2025-04-16/charts-show-how-fast-rent-has-outpaced-income-across-australia/105179340,ABC,https://www.abc.net.au,2025_04_15_22
ABC Inga Ting,2026_03_25_05,Are you living in one of Australia's least affordable rental suburbs?,https://www.abc.net.au/news/2025-04-07/the-postcodes-where-rent-chews-up-half-your-pay-cheque/105118336,ABC,https://www.abc.net.au,2025_04_08_02
ABC Inga Ting,2026_03_25_05,New data exposes suburbs with biggest rent rises,https://www.abc.net.au/listen/programs/worldtoday/new-data-exposes-suburbs-with-biggest-rent-rises/105146578,ABC,https://www.abc.net.au,2025_04_07_04
ABC Inga Ting,2026_03_25_05,Australia's most unaffordable city for renters might surprise you,https://www.abc.net.au/news/2025-04-06/the-rent-crisis-behind-australia-s-two-faced-cities/105118328,ABC,https://www.abc.net.au,2025_04_06_05
ABC Inga Ting,2026_03_25_05,"Why 2024 was a record-breaking year, according to the data",https://www.abc.net.au/news/2024-12-28/seven-charts-reveal-why-2024-was-a-record-breaking-year/104729976,ABC,https://www.abc.net.au,2025_01_31_03
ABC Inga Ting,2026_03_25_05,From 8 to 80 hectares in minutes: Maps reveal how quickly LA fires exploded,https://www.abc.net.au/news/2025-01-10/maps-show-how-quickly-fires-besieged-los-angeles/104801712,ABC,https://www.abc.net.au,2025_01_10_06
