Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Jack Fisher,2026_02_08_07,Inside the NSW government chat group as the Harbour Bridge Gaza march unfolded,https://www.abc.net.au/news/2025-10-10/inside-the-nsw-government-chat-group-as-the-sydney-harbour/105867960,ABC,https://www.abc.net.au,2025_10_09_19
ABC Jack Fisher,2026_02_08_07,"Kilometres below the waves, a global fight is brewing",https://www.abc.net.au/news/2025-09-07/deep-sea-mining-explained-as-global-fight-brews/105725488,ABC,https://www.abc.net.au,2025_09_07_00
ABC Jack Fisher,2026_02_08_07,'Huge' leak from gas plant kept secret from public in 'national scandal',https://www.abc.net.au/news/2025-09-01/methane-leak-darwin-lng-plant-kept-secret-from-public/105692718,ABC,https://www.abc.net.au,2025_09_01_09
ABC Jack Fisher,2026_02_08_07,"The wombat killer whodunnit, where the motives are everywhere to see",https://www.abc.net.au/news/2025-07-05/wombat-cuddlers-v-wombat-shooters-in-taralga/105387982,ABC,https://www.abc.net.au,2025_07_04_19
ABC Jack Fisher,2026_02_08_07,"Flood-hit dairy farmers are struggling, and it may mean higher milk prices",https://www.abc.net.au/news/2025-05-29/nsw-floods-dairy-farmers-milk-prices/105341794,ABC,https://www.abc.net.au,2025_05_28_19
ABC Jack Fisher,2026_02_08_07,'Everything lost': Floods left nearly every house on this street in ruins,https://www.abc.net.au/news/2025-05-27/nsw-floods-taree-entire-homes-lost-mid-north-coast/105335612,ABC,https://www.abc.net.au,2025_05_26_19
ABC Jack Fisher,2026_02_08_07,'What I feel is left out': The growing pains of Australia's newest suburbs,https://www.abc.net.au/news/2025-04-30/federal-election-greenfield-developments/105216632,ABC,https://www.abc.net.au,2025_04_29_18
ABC Jack Fisher,2026_02_08_07,'You wouldn't believe it's Australia': Climbing walls of ice in our own backyard,https://www.abc.net.au/news/2024-12-01/ice-climbing-in-australia-record-short-season-extreme-sports/104213836,ABC,https://www.abc.net.au,2025_03_15_00
ABC Jack Fisher,2026_02_08_07,This 3D model reveals the scale of sand swallowed by 'monster' cyclone swell,https://www.abc.net.au/news/2025-03-15/drone-maps-reveal-scale-of-sand-swallowed-in-cyclone/105053372,ABC,https://www.abc.net.au,2025_03_14_19
ABC Jack Fisher,2026_02_08_07,'The whole world' can be found in Cooma's cafes as Snowy 2.0 brings new wave of migrants to town,https://www.abc.net.au/news/2024-10-12/snowy-hydro-2-in-cooma-brings-migrant-workers-women-nsw/104428290,ABC,https://www.abc.net.au,2024_10_12_02
