Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Jarrod Fankhauser,2026_06_03_06,The scale of the mouse plague is hard to fathom. Here's a visualisation,https://www.abc.net.au/news/2026-05-24/visualising-australias-mouse-plague/106696622,ABC,https://www.abc.net.au,2026_05_26_02
Jarrod Fankhauser,2026_06_03_06,Top-earning Australians make money very differently from typical workers,https://www.abc.net.au/news/2026-05-10/how-everyone-is-making-money-and-what-it-means-for-their-tax/106639592,ABC,https://www.abc.net.au,2026_05_10_09
Jarrod Fankhauser,2026_06_03_06,"It just cost $2,553 to fill up 'Whiskers' — and Australians might bear the cost",https://www.abc.net.au/news/2026-05-03/fuel-diesel-hume-highway-trucking-transport/106612576,ABC,https://www.abc.net.au,2026_05_02_21
Jarrod Fankhauser,2026_06_03_06,Iran targets big tech and AI with strikes on data centres,https://www.abc.net.au/news/2026-03-15/iran-war-ai-technology-data-centres/106443004,ABC,https://www.abc.net.au,2026_03_15_06
Jarrod Fankhauser,2026_06_03_06,Three scenarios for the future of Iran's leadership,https://www.abc.net.au/news/2026-03-03/iran-ayatollah-leadership-what-comes-next/106404788,ABC,https://www.abc.net.au,2026_03_02_18
Jarrod Fankhauser,2026_06_03_06,"AI is creeping into every part of life — work, therapy, school, art — and Australians are divided between fascination and fear",https://www.abc.net.au/news/2025-11-06/artificial-intelligence-rise-australia-readers-concerns/105861182,ABC,https://www.abc.net.au,2025_11_06_20
Jarrod Fankhauser,2026_06_03_06,"'To eat bitterness': In the Pacific, there is 'old' Chinese and 'new' Chinese",https://www.abc.net.au/news/2025-09-28/china-pacific-islands-untold-story-chinese-geopolitics-influence/105818894,ABC,https://www.abc.net.au,2025_09_27_19
Jarrod Fankhauser,2026_06_03_06,'Nostalgia-fuelled binge': How the $US2 million retro video game bubble burst,https://www.abc.net.au/news/2025-06-14/how-retro-video-games-obsolete-collectors-items/105331068,ABC,https://www.abc.net.au,2025_06_13_20
Jarrod Fankhauser,2026_06_03_06,When home becomes hell: Inside one of the world's worst gender violence crises,https://www.abc.net.au/news/2025-05-16/pacific-gender-domestic-violence-crisis-women-abuse-survivors/105239446,ABC,https://www.abc.net.au,2025_05_16_00
Jarrod Fankhauser,2026_06_03_06,How fasting can switch on the body's cell recycling system,https://www.abc.net.au/news/2025-03-16/whats-going-on-inside-your-body-when-fasting/105022090,ABC,https://www.abc.net.au,2025_03_16_02
