Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Joshua Peach,2026_08_29_12,The year that remade the Murdochs: In their own words,https://www.afr.com/companies/media-and-marketing/the-year-that-remade-the-murdochs-in-their-own-words-20260827-p60rzo,AFR,https://www.afr.com,2026_08_29_00
Joshua Peach,2026_08_29_12,Liberals brace for a One Nation ‘perfect storm’ byelection,https://www.afr.com/politics/federal/liberals-brace-for-a-one-nation-perfect-storm-byelection-20260826-p60rsd,AFR,https://www.afr.com,2026_08_28_00
Joshua Peach,2026_08_29_12,Sacked CEO Paul Guerra sues Melbourne Demons,https://www.afr.com/companies/sport/sacked-ceo-paul-guerra-sues-melbourne-demons-20260821-p60qhb,AFR,https://www.afr.com,2026_08_23_00
Joshua Peach,2026_08_29_12,Who’s buying dinner with Albanese – and what they’re paying,https://www.afr.com/politics/federal/the-110m-loophole-australia-s-pay-for-access-political-economy-20260306-p5o88e,AFR,https://www.afr.com,2026_08_17_00
Joshua Peach,2026_08_29_12,"China’s tax crackdown spooks diaspora in Australia, around the world",https://www.afr.com/world/asia/china-s-tax-crackdown-spooks-diaspora-in-australia-around-the-world-20260811-p60n68,AFR,https://www.afr.com,2026_08_17_00
Joshua Peach,2026_08_29_12,"Albanese’s AI whisperer set to outline demands of Anthropic, OpenAI",https://www.afr.com/politics/federal/albanese-s-ai-whisperer-set-to-outline-demands-of-anthropic-openai-20260816-p60oqz,AFR,https://www.afr.com,2026_08_17_00
Joshua Peach,2026_08_29_12,AustralianSuper still wary of Musk’s SpaceX months after listing,https://www.afr.com/markets/equity-markets/australiansuper-still-wary-of-musk-s-spacex-months-after-listing-20260722-p60hip,AFR,https://www.afr.com,2026_08_16_00
Joshua Peach,2026_08_29_12,Gina Rinehart reveals $1.9b SpaceX bet as US market splurge tops $7.5b,https://www.afr.com/markets/equity-markets/gina-rinehart-reveals-1-9b-spacex-bet-as-us-market-splurge-tops-7-5b-20260815-p60ojz,AFR,https://www.afr.com,2026_08_16_00
Joshua Peach,2026_08_29_12,"Raygun’s brother sentenced for role in scam network with nearly 40,000 Aussie victims",https://www.afr.com/wealth/investing/raygun-s-brother-sentenced-for-role-in-criminal-scam-network-20260721-p60haf,AFR,https://www.afr.com,2026_07_22_00
Joshua Peach,2026_08_29_12,Hyperion snags $290m SpaceX bet as stock crashes back to earth,https://www.afr.com/markets/equity-markets/hyperion-snags-290m-spacex-bet-as-stock-crashes-back-to-earth-20260714-p60f2b,AFR,https://www.afr.com,2026_07_14_00
