Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Julian Fell,2026_01_05_05,How illegitimate regulators operate in the name of a tiny African island,https://www.abc.net.au/news/2025-12-31/fake-gambling-licenses-anjouan-casinos/106158766,ABC,https://www.abc.net.au,2025_12_30_18
Julian Fell,2026_01_05_05,Leaked texts from inside Australian billionaire's VIP gamblers club,https://www.abc.net.au/news/2025-12-05/ed-craven-vip-gamblers-club-stake-messages/106028000,ABC,https://www.abc.net.au,2025_12_04_23
Julian Fell,2026_01_05_05,One player's case against the world's biggest crypto casino,https://www.abc.net.au/news/2025-12-04/case-against-the-worlds-biggest-crypto-casino-stake-vip-host/105884760,ABC,https://www.abc.net.au,2025_12_03_18
Julian Fell,2026_01_05_05,Why Alliyah is identifying themselves as a victim-survivor,https://www.abc.net.au/news/2025-10-10/alliyah-identifying-as-abuse-victim-survivor/105865908,ABC,https://www.abc.net.au,2025_10_09_19
Julian Fell,2026_01_05_05,Sexual predator taught in Brisbane schools for nine years after parents' complaints,https://www.abc.net.au/news/2025-10-03/brisbane-schools-sexual-predator-teacher-complaints/105822874,ABC,https://www.abc.net.au,2025_10_03_02
Julian Fell,2026_01_05_05,Queensland teacher who abused student remained in education system for 9 years,https://www.abc.net.au/listen/programs/am/queensland-teacher-remained-in-education-system-for-9-years/105847236,ABC,https://www.abc.net.au,2025_10_03_00
Julian Fell,2026_01_05_05,'A predator is not a male or a female': How a community missed the signs of grooming,https://www.abc.net.au/news/2025-09-27/female-child-abusers-hidden/105806706,ABC,https://www.abc.net.au,2025_09_26_21
Julian Fell,2026_01_05_05,Alliyah 'married' their teacher at 13. No-one else knew,https://www.abc.net.au/news/2025-09-20/a-secret-lived-in-plain-sight/105708692,ABC,https://www.abc.net.au,2025_09_26_06
Julian Fell,2026_01_05_05,Why did this sexual abuse victim decide to identify themself?,https://www.abc.net.au/news/2025-09-23/why-did-this-sexual-abuse-victim-decide-to-identify-themself-/105807356,ABC,https://www.abc.net.au,2025_09_23_07
Julian Fell,2026_01_05_05,Own a Dreame robot vacuum? Don't use public WiFi to control it,https://www.abc.net.au/news/2025-08-17/dreame-smartphone-app-vulnerable-to-hacking/105640808,ABC,https://www.abc.net.au,2025_08_16_19
