Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Katia Shatoba,2025_10_18_05,Hundreds of Israeli military vehicles seen in imagery surrounding Gaza City,https://www.abc.net.au/news/2025-10-04/satellite-images-show-israels-assault-on-gaza-city/105848138,ABC,https://www.abc.net.au,2025_10_04_00
ABC Katia Shatoba,2025_10_18_05,"The group that's almost everyone's top pick for love, according to the data",https://www.abc.net.au/news/2025-09-28/more-australians-are-marrying-across-the-religious-divide/105779468,ABC,https://www.abc.net.au,2025_09_27_19
ABC Katia Shatoba,2025_10_18_05,"Kilometres below the waves, a global fight is brewing",https://www.abc.net.au/news/2025-09-07/deep-sea-mining-explained-as-global-fight-brews/105725488,ABC,https://www.abc.net.au,2025_09_07_00
ABC Katia Shatoba,2025_10_18_05,Unlocking secrets hidden inside the world's most precious specimens,https://www.abc.net.au/news/2025-07-12/3d-model-ct-scans-show-secrets-deep-inside-the-museum-specimens/105370648,ABC,https://www.abc.net.au,2025_07_11_19
ABC Katia Shatoba,2025_10_18_05,"The Iron Dome, David's Sling and Arrow: Israel's air defences visualised",https://www.abc.net.au/news/2025-06-17/inside-israels-iron-dome-davids-sling-and-arrow-air-defence/105420744,ABC,https://www.abc.net.au,2025_06_16_19
ABC Katia Shatoba,2025_10_18_05,The strange 'ballot-fellows' revealed on parties' how-to-vote cards,https://www.abc.net.au/news/2025-05-01/how-to-vote-cards-in-your-electorates/105217758,ABC,https://www.abc.net.au,2025_05_01_04
ABC Katia Shatoba,2025_10_18_05,This town is a 'canary in the coal mine' as climate change threatens home ownership,https://www.abc.net.au/news/2025-04-15/climate-change-pushing-up-insurance-risk-data-shows/105154662,ABC,https://www.abc.net.au,2025_04_14_22
ABC Katia Shatoba,2025_10_18_05,Are you living in one of Australia's least affordable rental suburbs?,https://www.abc.net.au/news/2025-04-07/the-postcodes-where-rent-chews-up-half-your-pay-cheque/105118336,ABC,https://www.abc.net.au,2025_04_08_02
ABC Katia Shatoba,2025_10_18_05,Australia's most unaffordable city for renters might surprise you,https://www.abc.net.au/news/2025-04-06/the-rent-crisis-behind-australia-s-two-faced-cities/105118328,ABC,https://www.abc.net.au,2025_04_06_05
ABC Katia Shatoba,2025_10_18_05,The view from space of Cyclone Alfred nearing coastlines,https://www.abc.net.au/news/2025-03-04/satellite-shows-cyclone-alfred-off-brisbane-queensland-nsw/105008554,ABC,https://www.abc.net.au,2025_03_07_06
