Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Margaret Burin,2026_05_15_05,These charts show how Coles Down Down pricing patterns duped shoppers,https://www.abc.net.au/news/2026-05-14/coles-grocery-pricing-down-down-accc-court-visual-guide/106678288,ABC,https://www.abc.net.au,2026_05_14_03
Margaret Burin,2026_05_15_05,Top-earning Australians make money very differently from typical workers,https://www.abc.net.au/news/2026-05-10/how-everyone-is-making-money-and-what-it-means-for-their-tax/106639592,ABC,https://www.abc.net.au,2026_05_10_09
Margaret Burin,2026_05_15_05,"It just cost $2,553 to fill up 'Whiskers' — and Australians might bear the cost",https://www.abc.net.au/news/2026-05-03/fuel-diesel-hume-highway-trucking-transport/106612576,ABC,https://www.abc.net.au,2026_05_02_21
Margaret Burin,2026_05_15_05,'It's a cutthroat business': Where Australia is sourcing oil right now,https://www.abc.net.au/news/2026-04-11/australia-fuel-supply-strait-hormuz-crisis/106533982,ABC,https://www.abc.net.au,2026_04_10_23
Margaret Burin,2026_05_15_05,Trump promised peace but launched nine foreign military actions,https://www.abc.net.au/news/2026-03-08/donald-trump-iran-military-actions-australia-response/106411630,ABC,https://www.abc.net.au,2026_03_09_06
Margaret Burin,2026_05_15_05,Three scenarios for the future of Iran's leadership,https://www.abc.net.au/news/2026-03-03/iran-ayatollah-leadership-what-comes-next/106404788,ABC,https://www.abc.net.au,2026_03_02_18
Margaret Burin,2026_05_15_05,These charts show the price patterns that have landed Coles in court,https://www.abc.net.au/news/2026-02-22/coles-grocery-pricing-down-down-accc-court/106355492,ABC,https://www.abc.net.au,2026_02_21_20
Margaret Burin,2026_05_15_05,'I am shocked': Unpacking One Nation's spectacular rise in the polls,https://www.abc.net.au/news/2026-02-15/story-lab-one-nation-polling/106322978,ABC,https://www.abc.net.au,2026_02_14_18
Margaret Burin,2026_05_15_05,They were loved: The 15 lives taken in Bondi terror,https://www.abc.net.au/news/2025-12-16/bondi-beach-shooting-victims-tributes/106144588,ABC,https://www.abc.net.au,2026_01_21_02
Margaret Burin,2026_05_15_05,'Scientists will never catch up to us': Ancient knowledge helps drive modern science,https://www.abc.net.au/news/2025-10-31/how-ancient-science-is-driving-modern-science/104872844,ABC,https://www.abc.net.au,2025_10_30_23
