Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Mary McGillivray,2026_01_20_09,Greek astronomy is ancient but this Wiradjuri knowledge is far older,https://www.abc.net.au/news/2025-12-02/the-art-of-space-indigenous-constellations/106046350,ABC,https://www.abc.net.au,2025_12_01_23
ABC Mary McGillivray,2026_01_20_09,Why are women always the ones being sawn in half in magic shows?,https://www.abc.net.au/news/2025-11-01/the-art-of-magic-wg-alma-collection/105925202,ABC,https://www.abc.net.au,2025_10_31_21
ABC Mary McGillivray,2026_01_20_09,The hidden story behind this painting of a huge bull,https://www.abc.net.au/news/2025-10-21/agricultural-livestock-big-cow-art-popular-genre-paintings/105858568,ABC,https://www.abc.net.au,2025_10_21_01
ABC Mary McGillivray,2026_01_20_09,Sydney's heritage-listed urinal tells story of Australia's public loos,https://www.abc.net.au/news/2025-10-01/sydney-heritage-listed-urinal-pissoir-mary-mcgillivray/105830378,ABC,https://www.abc.net.au,2025_09_30_23
ABC Mary McGillivray,2026_01_20_09,17th-century mapmakers had vivid ideas about Australia. They were wrong,https://www.abc.net.au/news/2025-08-06/european-cartography-maps-australia-terra-australis/105589656,ABC,https://www.abc.net.au,2025_08_05_20
ABC Mary McGillivray,2026_01_20_09,Why 18th century European kids were designing their idea of Australia,https://www.abc.net.au/news/2025-07-10/children-embroidery-early-colonial-history/105502034,ABC,https://www.abc.net.au,2025_07_10_02
ABC Mary McGillivray,2026_01_20_09,The strange story of how a Russian treasure got to regional Australia,https://www.abc.net.au/news/2025-04-07/russian-tsar-vase-bendigo-art-gallery-mary-mcgillivray/105115932,ABC,https://www.abc.net.au,2025_04_06_22
ABC Mary McGillivray,2026_01_20_09,"There was a time when unicorns were real, and art could prove it",https://www.abc.net.au/news/2025-03-10/lady-and-unicorn-musee-cluny-wharncliffe-hours-art-mystery/105002634,ABC,https://www.abc.net.au,2025_03_13_04
ABC Mary McGillivray,2026_01_20_09,Vincent Van Gogh suffered for most of his life. Why are we still so into the starving artist trope?,https://www.abc.net.au/news/2024-10-02/mary-mcgillivray-the-starving-artist-trope/104247546,ABC,https://www.abc.net.au,2024_10_02_01
ABC Mary McGillivray,2026_01_20_09,An Australian gallery acquired this painting in the 50s. They only recently discovered its secret,https://www.abc.net.au/news/2024-08-26/abc-tv-art-of-x-rays-oil-paintings-mary-mcgillivray/104247548,ABC,https://www.abc.net.au,2024_08_25_23
