Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Matt Liddy,2026_01_27_05,How hot is it? Track heatwave temperatures live,https://www.abc.net.au/news/2026-01-27/temperatures-heatwave-tracker-live/106270976,ABC,https://www.abc.net.au,2026_01_26_18
ABC Matt Liddy,2026_01_27_05,How hot is it? Track Australia Day heatwave temperatures live,https://www.abc.net.au/news/2026-01-26/temperatures-heatwave-tracker-australia-day/106268950,ABC,https://www.abc.net.au,2026_01_25_23
ABC Matt Liddy,2026_01_27_05,Track temperatures live as heatwave sweeps across Australia,https://www.abc.net.au/news/2026-01-24/temperatures-heatwave-tracker-australia-day/106263796,ABC,https://www.abc.net.au,2026_01_23_20
ABC Matt Liddy,2026_01_27_05,Track temperatures live as heatwave sweeps continent,https://www.abc.net.au/news/2026-01-23/temperatures-heatwave-tracker-australia-day/106261904,ABC,https://www.abc.net.au,2026_01_23_07
ABC Matt Liddy,2026_01_27_05,They were loved: The 15 lives taken in Bondi terror,https://www.abc.net.au/news/2025-12-16/bondi-beach-shooting-victims-tributes/106144588,ABC,https://www.abc.net.au,2026_01_21_02
ABC Matt Liddy,2026_01_27_05,Step inside this famous photo to find out what it was like to be there for The Dismissal,https://www.abc.net.au/news/2025-11-11/the-dismissal-50th-anniversary-photo/105958494,ABC,https://www.abc.net.au,2025_11_12_06
ABC Matt Liddy,2026_01_27_05,The world's oldest face is one tiny part of this epic First Nations story,https://www.abc.net.au/news/2025-10-20/deep-time-indigenous-history-introduction/105907302,ABC,https://www.abc.net.au,2025_10_19_18
ABC Matt Liddy,2026_01_27_05,"From wild to workable, 23 big ideas for boosting Australia's productivity",https://www.abc.net.au/news/2025-08-18/big-ideas-productivity-economic-reform-roundtable/105629070,ABC,https://www.abc.net.au,2025_08_24_22
ABC Matt Liddy,2026_01_27_05,Israel's approach to Iran has its origins in letter bombs sent to German scientists,https://www.abc.net.au/news/2025-06-27/israel-vow-to-change-middle-east-reverberates-across-map/105435308,ABC,https://www.abc.net.au,2025_07_07_05
ABC Matt Liddy,2026_01_27_05,The US helped start Iran's nuclear program — but now wants to end it,https://www.abc.net.au/news/2025-07-02/iran-us-relationship-history/105457754,ABC,https://www.abc.net.au,2025_07_01_18
