Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Rachel Withers,2024_12_28_05,"Yes, Australia should extend the length of our parliamentary terms — we never really break out of election mode",https://www.crikey.com.au/2024/12/20/parliamentary-term-extension-australia-the-friday-fight-yes/,Crikey,https://www.crikey.com.au,2024_12_20_00
Rachel Withers,2024_12_28_05,"A hung parliament is all but certain. After months of interviewing the crossbench, here's what I've learnt",https://www.crikey.com.au/2024/12/19/forget-the-frontbench-crossbench-federal-election-hung-parliament/,Crikey,https://www.crikey.com.au,2024_12_19_00
Rachel Withers,2024_12_28_05,Nicolette Boele 'gave up' on politics over Labor's climate inaction. Now she wants to win a Liberal seat,https://www.crikey.com.au/2024/12/12/bradfield-teal-nicolette-boele-paul-fletcher-forget-the-frontbench/,Crikey,https://www.crikey.com.au,2024_12_12_00
Rachel Withers,2024_12_28_05,'I think women are better at it': Sarah Hanson-Young on negotiating in a divided Parliament,https://www.crikey.com.au/2024/12/05/sarah-hanson-young-greens-labor-women-negotiating-parliament/,Crikey,https://www.crikey.com.au,2024_12_05_00
Rachel Withers,2024_12_28_05,Birmingham was a failed moderate who leaves a legacy of rolling over and letting the right win,https://www.crikey.com.au/2024/11/29/simon-birmingham-valedictory-liberal-moderates/,Crikey,https://www.crikey.com.au,2024_11_29_00
Rachel Withers,2024_12_28_05,"Simon Holmes à Court on Climate 200, donation reforms and why Kerry Stokes wields more power than he does",https://www.crikey.com.au/2024/11/21/simon-holmes-a-court-climate-200-donation-reforms/,Crikey,https://www.crikey.com.au,2024_11_21_00
Rachel Withers,2024_12_28_05,No longer Jonestown? The diminished political power of Alan Jones,https://www.crikey.com.au/2024/11/20/who-is-alan-jones-arrest-radio-career-2gb/,Crikey,https://www.crikey.com.au,2024_11_20_00
Rachel Withers,2024_12_28_05,"Tammy Tyrrell isn't just Lambie Lite, and now she's going after Labor's social media ban",https://www.crikey.com.au/2024/11/14/tammy-tyrrell-independent-senator-forget-the-frontbench-jacqui-lambie-network-tasmania/,Crikey,https://www.crikey.com.au,2024_11_14_00
Rachel Withers,2024_12_28_05,'I think the major parties need a kick in the nuts': How 'Punter’s Politics' stormed Parliament House,https://www.crikey.com.au/2024/11/07/punters-politics-interview-lobbying-forget-the-frontbench/,Crikey,https://www.crikey.com.au,2024_11_07_00
Rachel Withers,2024_12_28_05,So much for Greensland: Does Adam Bandt know why the Greens are stalling?,https://www.crikey.com.au/2024/10/31/adam-bandt-interview-greens-queensland-election-stall/,Crikey,https://www.crikey.com.au,2024_10_31_00
