Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Shannon Teoh,2026_07_16_06,How Singapore’s population has evolved in 5 years,https://www.straitstimes.com/multimedia/how-singapores-population-has-evolved-in-5-years,Straits Times,https://www.straitstimes.com/,2026_07_02_17
Shannon Teoh,2026_07_16_06,Seniors caring for seniors: What caregiving looks like in a super-aged society,https://www.straitstimes.com/multimedia/seniors-caring-for-seniors-what-caregiving-looks-like-in-a-super-aged-society,Straits Times,https://www.straitstimes.com/,2026_05_20_05
Shannon Teoh,2026_07_16_06,Going beyond decibels: Visualising how annoying traffic noise really is,https://www.straitstimes.com/multimedia/going-beyond-decibels-visualising-how-annoying-traffic-noise-really-is,Straits Times,https://www.straitstimes.com/,2026_04_17_20
Shannon Teoh,2026_07_16_06,AI chatbots know more about you than you realise,https://www.straitstimes.com/multimedia/ai-chatbots-know-more-about-you-than-you-realise,Straits Times,https://www.straitstimes.com/,2026_04_14_05
Shannon Teoh,2026_07_16_06,Are HDB flats near train stations more valuable? It depends on the town,https://www.straitstimes.com/singapore/housing/are-hdb-flats-near-train-stations-more-valuable-it-depends-on-the-town,Straits Times,https://www.straitstimes.com/,2026_03_23_05
Shannon Teoh,2026_07_16_06,US-Israeli attack on Iran: What happens next?,https://www.straitstimes.com/world/middle-east/us-israeli-attack-on-iran-what-happens-next,Straits Times,https://www.straitstimes.com/,2026_03_05_06
Shannon Teoh,2026_07_16_06,US-Israeli attack on Iran: What we know so far,https://www.straitstimes.com/world/middle-east/us-israeli-attack-on-iran-what-we-know-so-far,Straits Times,https://www.straitstimes.com/,2026_03_02_13
Shannon Teoh,2026_07_16_06,"30 years of catching ‘em all: Ultimate field guide to over 1,000 Pokemon",https://www.straitstimes.com/life/gotta-classify-em-all-the-ultimate-field-guide-to-over-1000-pokemon,Straits Times,https://www.straitstimes.com/,2026_02_27_05
Shannon Teoh,2026_07_16_06,Singapore Budget 2026: A step to secure the future,https://www.straitstimes.com/singapore/singapore-budget-2026-a-step-to-secure-the-future,Straits Times,https://www.straitstimes.com/,2026_02_12_17
Shannon Teoh,2026_07_16_06,No quiet at home: The reality of living with Singapore’s traffic noise,https://www.straitstimes.com/singapore/we-measured-traffic-noise-in-25-homes-here-is-how-it-affects-you,Straits Times,https://www.straitstimes.com/,2025_12_27_05
