Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Sharon Gordon,2026_09_21_07,Police pursued a suspected killer for decades. Now there's a twist in the case,https://www.abc.net.au/news/2026-09-13/unravel-true-crime-who-killed-simone-strobel-in-lismore/107095362,ABC,https://www.abc.net.au,2026_09_15_01
Sharon Gordon,2026_09_21_07,"25 years on, the twin brothers left behind still carry weight of 9/11",https://www.abc.net.au/news/2026-09-10/september-11-surviving-families-anniversary-terrorist-attack/107089528,ABC,https://www.abc.net.au,2026_09_10_03
Sharon Gordon,2026_09_21_07,This is what happens when meditation goes wrong,https://www.abc.net.au/news/health/2026-09-06/when-meditation-goes-wrong/106692856,ABC,https://www.abc.net.au,2026_09_05_20
Sharon Gordon,2026_09_21_07,"To understand how war abroad impacts Australia, look to the price of milk",https://www.abc.net.au/news/2026-08-01/coffee-commute-iran-war-morning-routine/106944788,ABC,https://www.abc.net.au,2026_08_02_22
Sharon Gordon,2026_09_21_07,The 'little shampoo business' selling 'false hope' to women,https://www.abc.net.au/news/2026-07-31/monat-mlm-network-marketing-women-mums/106870398,ABC,https://www.abc.net.au,2026_07_30_21
Sharon Gordon,2026_09_21_07,Australian scientist ignites war over the world's longest lives,https://www.abc.net.au/news/2026-07-11/battle-for-the-blue-zones-longevity-science-newman-buettner/106846524,ABC,https://www.abc.net.au,2026_07_14_02
Sharon Gordon,2026_09_21_07,What falling home prices mean for affordability,https://www.abc.net.au/news/2026-07-12/housing-market-falling-prices-affordability/106005822,ABC,https://www.abc.net.au,2026_07_11_20
Sharon Gordon,2026_09_21_07,"In a dark courtroom, a video of horrific accidents plays as a woman cries",https://www.abc.net.au/news/2026-05-31/qld-morning-in-cleveland-magistrates-court/106587290,ABC,https://www.abc.net.au,2026_05_30_21
Sharon Gordon,2026_09_21_07,The alternative classroom disengaged students are choosing to be in,https://www.abc.net.au/news/2026-05-02/alternative-suspension-solution-support-for-students-nsw/106537090,ABC,https://www.abc.net.au,2026_05_01_20
Sharon Gordon,2026_09_21_07,'No secrets': Alternative school's history of discipline in spotlight,https://www.abc.net.au/news/2026-05-01/fitzroy-community-school-abuse-allegations-revealed/106524582,ABC,https://www.abc.net.au,2026_04_30_20
