Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
ABC Simon Elvery,2026_08_27_07,"The Iran war has 'metastasised', and that suits one side just fine",https://www.abc.net.au/news/2026-08-08/iran-war-spreading-diplomacy-teeters/106990466,ABC,https://www.abc.net.au,2026_08_08_01
ABC Simon Elvery,2026_08_27_07,How Australians on JobSeeker are living on $68 a day,https://www.abc.net.au/news/2026-08-07/could-you-live-on-jobseeker-payments/106866554,ABC,https://www.abc.net.au,2026_08_06_18
ABC Simon Elvery,2026_08_27_07,The everyday items that have gone up in price — and what's gone down,https://www.abc.net.au/news/2026-07-30/tracking-inflation-see-how-the-price-of-everything-has-changed/106967878,ABC,https://www.abc.net.au,2026_07_29_18
ABC Simon Elvery,2026_08_27_07,Top-earning Australians make money very differently from typical workers,https://www.abc.net.au/news/2026-05-10/how-everyone-is-making-money-and-what-it-means-for-their-tax/106639592,ABC,https://www.abc.net.au,2026_05_10_09
ABC Simon Elvery,2026_08_27_07,"From cereal to clothing, see how the price of everyday items has changed",https://www.abc.net.au/news/2026-04-30/inflation-tracker-see-how-prices-have-changed/106585314,ABC,https://www.abc.net.au,2026_04_30_00
ABC Simon Elvery,2026_08_27_07,Did you really get a discount on your Tim Tams? The ACCC doesn't think so,https://www.abc.net.au/news/2026-04-21/woolworths-accc-court-case-grocery-pricing-discounts/106561584,ABC,https://www.abc.net.au,2026_04_20_19
ABC Simon Elvery,2026_08_27_07,Trump promised peace but launched nine foreign military actions,https://www.abc.net.au/news/2026-03-08/donald-trump-iran-military-actions-australia-response/106411630,ABC,https://www.abc.net.au,2026_03_09_06
ABC Simon Elvery,2026_08_27_07,"From wild to workable, 23 big ideas for boosting Australia's productivity",https://www.abc.net.au/news/2025-08-18/big-ideas-productivity-economic-reform-roundtable/105629070,ABC,https://www.abc.net.au,2025_08_24_22
ABC Simon Elvery,2026_08_27_07,Israel's approach to Iran has its origins in letter bombs sent to German scientists,https://www.abc.net.au/news/2025-06-27/israel-vow-to-change-middle-east-reverberates-across-map/105435308,ABC,https://www.abc.net.au,2025_07_07_05
ABC Simon Elvery,2026_08_27_07,'Third party' vote looks set to beat Coalition,https://www.abc.net.au/news/2025-05-10/election-results-independents-rising-charts/105267162,ABC,https://www.abc.net.au,2025_05_12_05
