Who,scraped_datetime,Headline,Url,Site,Siteurl,Published
Straits Times Photos,2026_06_28_05,"Today in Pictures, June 25, 2026",https://www.straitstimes.com/multimedia/photos/today-in-pictures-june-25-2026,Straits Times,https://www.straitstimes.com/,2026_06_25_00
Straits Times Photos,2026_06_28_05,"Today in Pictures, June 24, 2026",https://www.straitstimes.com/multimedia/photos/today-in-pictures-june-24-2026,Straits Times,https://www.straitstimes.com/,2026_06_24_00
Straits Times Photos,2026_06_28_05,"Today in Pictures, June 23, 2026",https://www.straitstimes.com/multimedia/photos/today-in-pictures-june-23-2026,Straits Times,https://www.straitstimes.com/,2026_06_23_00
Straits Times Photos,2026_06_28_05,"Today in Pictures, June 22, 2026",https://www.straitstimes.com/multimedia/photos/today-in-pictures-june-22-2026,Straits Times,https://www.straitstimes.com/,2026_06_22_00
Straits Times Photos,2026_06_28_05,"Today in Pictures, June 19, 2026",https://www.straitstimes.com/multimedia/photos/today-in-pictures-june-19-2026,Straits Times,https://www.straitstimes.com/,2026_06_19_00
Straits Times Photos,2026_06_28_05,"Today in Pictures, June 18, 2026",https://www.straitstimes.com/multimedia/photos/today-in-pictures-june-18-2026,Straits Times,https://www.straitstimes.com/,2026_06_18_00
Straits Times Photos,2026_06_28_05,"Today in Pictures, June 17, 2026",https://www.straitstimes.com/multimedia/photos/today-in-pictures-june-17-2026,Straits Times,https://www.straitstimes.com/,2026_06_17_00
Straits Times Photos,2026_06_28_05,"Today in Pictures, June 16, 2026",https://www.straitstimes.com/multimedia/photos/today-in-pictures-june-16-2026,Straits Times,https://www.straitstimes.com/,2026_06_16_00
Straits Times Photos,2026_06_28_05,"Today in Pictures, June 15, 2026",https://www.straitstimes.com/multimedia/photos/today-in-pictures-june-15-2026,Straits Times,https://www.straitstimes.com/,2026_06_15_00
Straits Times Photos,2026_06_28_05,"Today in Pictures, June 12, 2026",https://www.straitstimes.com/multimedia/photos/today-in-pictures-june-12-2026,Straits Times,https://www.straitstimes.com/,2026_06_12_00
